timestamp,AAPL,MSFT,XOM,BP
2024-08-28 04:00:00+00:00,226.49,410.6,116.52,34.23
2024-08-29 04:00:00+00:00,229.79,413.12,118.13,34.47
2024-08-30 04:00:00+00:00,229.0,417.14,117.94,33.96
2024-09-03 04:00:00+00:00,222.77,409.44,115.47,32.87
2024-09-04 04:00:00+00:00,220.85,408.9,114.06,32.41
2024-09-05 04:00:00+00:00,222.38,408.39,113.17,32.35
2024-09-06 04:00:00+00:00,220.82,401.7,112.64,31.9
2024-09-09 04:00:00+00:00,220.91,405.72,115.01,31.8
2024-09-10 04:00:00+00:00,220.11,414.2,110.82,31.15
2024-09-11 04:00:00+00:00,222.66,423.04,109.72,31.29
2024-09-12 04:00:00+00:00,222.77,427.0,111.23,31.58
2024-09-13 04:00:00+00:00,222.5,430.59,111.15,31.84
2024-09-16 04:00:00+00:00,216.32,431.34,112.71,32.3
2024-09-17 04:00:00+00:00,216.79,435.15,114.18,32.55
2024-09-18 04:00:00+00:00,220.69,430.81,114.58,32.43
2024-09-19 04:00:00+00:00,228.87,438.69,116.0,32.76
2024-09-20 04:00:00+00:00,228.2,435.27,115.27,32.64
2024-09-23 04:00:00+00:00,226.47,433.51,117.36,32.86
2024-09-24 04:00:00+00:00,227.37,429.17,117.05,32.83
2024-09-25 04:00:00+00:00,226.37,432.11,114.77,31.68
2024-09-26 04:00:00+00:00,227.52,431.31,112.8,30.79
2024-09-27 04:00:00+00:00,227.79,428.02,115.82,31.42
2024-09-30 04:00:00+00:00,233.0,430.3,117.22,31.39
2024-10-01 04:00:00+00:00,226.21,420.69,119.93,32.09
2024-10-02 04:00:00+00:00,226.78,417.13,121.52,32.37
2024-10-03 04:00:00+00:00,225.67,416.54,122.58,32.46
2024-10-04 04:00:00+00:00,226.8,416.06,124.83,32.88
2024-10-07 04:00:00+00:00,221.69,409.54,125.37,33.14
2024-10-08 04:00:00+00:00,225.77,414.71,122.04,32.03
2024-10-09 04:00:00+00:00,229.54,417.46,122.09,31.98
2024-10-10 04:00:00+00:00,229.04,415.84,123.14,32.34
2024-10-11 04:00:00+00:00,227.55,416.32,123.61,32.11
2024-10-14 04:00:00+00:00,231.3,419.14,124.08,31.99
2024-10-15 04:00:00+00:00,233.85,418.74,120.35,30.74
2024-10-16 04:00:00+00:00,231.78,416.12,120.66,30.93
2024-10-17 04:00:00+00:00,232.15,416.72,120.35,31.32
2024-10-18 04:00:00+00:00,235.0,418.16,120.01,31.33
2024-10-21 04:00:00+00:00,236.48,418.78,120.08,31.47
2024-10-22 04:00:00+00:00,235.86,427.51,120.7,31.58
2024-10-23 04:00:00+00:00,230.76,424.6,120.27,31.31
2024-10-24 04:00:00+00:00,230.57,424.73,119.59,31.3
2024-10-25 04:00:00+00:00,231.41,428.15,119.49,31.52
2024-10-28 04:00:00+00:00,233.4,426.59,118.9,31.05
2024-10-29 04:00:00+00:00,233.67,431.95,117.28,29.36
2024-10-30 04:00:00+00:00,230.1,432.53,116.69,29.02
2024-10-31 04:00:00+00:00,225.91,406.35,116.78,29.36
2024-11-01 04:00:00+00:00,222.91,410.37,114.95,29.23
2024-11-04 05:00:00+00:00,222.01,408.46,118.61,29.73
2024-11-05 05:00:00+00:00,223.45,411.46,118.96,29.96
2024-11-06 05:00:00+00:00,222.72,420.18,121.0,30.16
2024-11-07 05:00:00+00:00,227.48,425.43,121.15,30.29
2024-11-08 05:00:00+00:00,226.96,422.54,121.11,28.93
2024-11-11 05:00:00+00:00,224.23,418.01,120.47,28.92
2024-11-12 05:00:00+00:00,224.23,423.03,120.35,28.16
2024-11-13 05:00:00+00:00,225.12,425.2,121.47,28.57
2024-11-14 05:00:00+00:00,228.22,426.89,120.56,29.05
2024-11-15 05:00:00+00:00,225.0,415.0,119.31,28.98
2024-11-18 05:00:00+00:00,228.02,415.76,120.31,29.42
2024-11-19 05:00:00+00:00,228.28,417.79,118.63,29.09
2024-11-20 05:00:00+00:00,229.0,415.49,120.32,29.08
2024-11-21 05:00:00+00:00,228.52,412.87,121.93,29.52
2024-11-22 05:00:00+00:00,229.87,417.0,121.79,29.72
2024-11-25 05:00:00+00:00,232.87,418.79,119.97,29.32
2024-11-26 05:00:00+00:00,235.06,427.99,117.97,28.96
2024-11-27 05:00:00+00:00,234.93,422.99,117.66,29.13
2024-11-29 05:00:00+00:00,237.33,423.46,117.96,29.31
2024-12-02 05:00:00+00:00,239.59,430.98,117.85,28.99
2024-12-03 05:00:00+00:00,242.65,431.2,117.67,29.45
2024-12-04 05:00:00+00:00,243.01,437.42,114.28,29.13
2024-12-05 05:00:00+00:00,243.04,442.62,114.78,29.14
2024-12-06 05:00:00+00:00,242.84,443.57,113.57,28.7
2024-12-09 05:00:00+00:00,246.75,446.02,112.9,30.09
2024-12-10 05:00:00+00:00,247.77,443.33,112.67,30.1
2024-12-11 05:00:00+00:00,246.49,448.99,111.92,30.33
2024-12-12 05:00:00+00:00,247.96,449.56,111.82,30.15
2024-12-13 05:00:00+00:00,248.13,447.27,110.84,29.98
2024-12-16 05:00:00+00:00,251.04,451.59,108.47,28.95
2024-12-17 05:00:00+00:00,253.48,454.46,108.01,29.08
2024-12-18 05:00:00+00:00,248.05,437.39,106.42,28.54
2024-12-19 05:00:00+00:00,249.79,437.03,105.51,28.41
2024-12-20 05:00:00+00:00,254.49,436.6,105.87,28.6
2024-12-23 05:00:00+00:00,255.27,435.25,106.3,28.75
2024-12-24 05:00:00+00:00,258.2,439.33,106.4,28.79
2024-12-26 05:00:00+00:00,259.02,438.11,106.49,28.85
2024-12-27 05:00:00+00:00,255.59,430.53,106.48,28.96
2024-12-30 05:00:00+00:00,252.2,424.83,105.76,29.09
2024-12-31 05:00:00+00:00,250.42,421.5,107.57,29.56
2025-01-02 05:00:00+00:00,243.85,418.58,107.31,29.93
2025-01-03 05:00:00+00:00,243.36,423.35,107.86,30.47
2025-01-06 05:00:00+00:00,245.0,427.85,107.74,31.02
2025-01-07 05:00:00+00:00,242.21,422.37,108.75,31.83
2025-01-08 05:00:00+00:00,242.7,424.56,106.93,31.12
2025-01-10 05:00:00+00:00,236.85,418.95,106.54,31.29
2025-01-13 05:00:00+00:00,234.4,417.19,109.29,31.22
2025-01-14 05:00:00+00:00,233.28,415.67,109.72,31.09
2025-01-15 05:00:00+00:00,237.87,426.31,111.51,31.3
2025-01-16 05:00:00+00:00,228.26,424.58,111.32,31.78
2025-01-17 05:00:00+00:00,229.98,429.03,112.32,31.69
2025-01-21 05:00:00+00:00,222.64,428.5,111.47,31.52
2025-01-22 05:00:00+00:00,223.83,446.2,109.53,31.13
2025-01-23 05:00:00+00:00,223.66,446.71,110.15,31.49
2025-01-24 05:00:00+00:00,222.78,444.06,108.66,31.45
2025-01-27 05:00:00+00:00,229.86,434.56,110.17,31.45
2025-01-28 05:00:00+00:00,238.26,447.2,108.04,31.16
2025-01-29 05:00:00+00:00,239.36,442.33,108.67,31.13
2025-01-30 05:00:00+00:00,237.59,414.99,109.57,31.61
2025-01-31 05:00:00+00:00,236.0,415.06,106.83,31.06
2025-02-03 05:00:00+00:00,228.01,410.92,107.09,30.87
2025-02-04 05:00:00+00:00,232.8,412.37,109.96,31.64
2025-02-05 05:00:00+00:00,232.47,413.29,109.88,31.67
2025-02-06 05:00:00+00:00,233.22,415.82,108.43,31.96
2025-02-07 05:00:00+00:00,227.63,409.75,108.89,32.27
2025-02-10 05:00:00+00:00,227.65,412.22,110.97,34.42
2025-02-11 05:00:00+00:00,232.62,411.44,111.67,34.55
2025-02-12 05:00:00+00:00,236.87,409.04,107.35,34.68
2025-02-13 05:00:00+00:00,241.53,410.54,108.13,34.49
2025-02-14 05:00:00+00:00,244.6,408.43,108.24,35.0
2025-02-18 05:00:00+00:00,244.47,409.64,110.14,35.31
2025-02-19 05:00:00+00:00,244.87,414.77,110.3,34.54
2025-02-20 05:00:00+00:00,245.83,416.13,112.0,34.65
2025-02-21 05:00:00+00:00,245.55,408.21,110.69,33.89
2025-02-24 05:00:00+00:00,247.1,404.0,111.27,33.74
2025-02-25 05:00:00+00:00,247.04,397.9,109.73,33.23
2025-02-26 05:00:00+00:00,240.36,399.73,109.46,32.68
2025-02-27 05:00:00+00:00,237.3,392.53,110.15,33.12
2025-02-28 05:00:00+00:00,241.84,396.99,111.33,33.12
2025-03-03 05:00:00+00:00,238.03,388.49,107.76,31.81
2025-03-04 05:00:00+00:00,235.93,388.61,107.54,31.44
2025-03-05 05:00:00+00:00,235.74,401.02,105.44,31.88
2025-03-06 05:00:00+00:00,235.33,396.89,107.62,31.71
2025-03-07 05:00:00+00:00,239.07,393.31,109.02,32.07
2025-03-10 04:00:00+00:00,227.48,380.16,111.8,32.21
2025-03-11 04:00:00+00:00,220.84,380.45,109.16,31.98
2025-03-12 04:00:00+00:00,216.98,383.27,109.13,32.2
2025-03-13 04:00:00+00:00,209.68,378.77,108.67,32.37
2025-03-14 04:00:00+00:00,213.49,388.56,111.9,33.39
2025-03-17 04:00:00+00:00,214.0,388.7,113.76,33.76
2025-03-18 04:00:00+00:00,212.69,383.52,113.64,34.22
2025-03-19 04:00:00+00:00,215.24,387.82,115.41,34.61
2025-03-20 04:00:00+00:00,214.1,386.84,115.9,34.75
2025-03-21 04:00:00+00:00,218.27,391.26,115.5,34.55
2025-03-24 04:00:00+00:00,220.73,393.08,115.8,34.11
2025-03-25 04:00:00+00:00,223.75,395.16,116.59,34.29
2025-03-26 04:00:00+00:00,221.53,389.97,118.27,34.42
2025-03-27 04:00:00+00:00,223.85,390.58,117.89,34.41
2025-03-28 04:00:00+00:00,217.9,378.8,117.73,33.86
2025-03-31 04:00:00+00:00,222.13,375.39,118.93,33.79
2025-04-01 04:00:00+00:00,223.19,382.19,119.04,33.81
2025-04-02 04:00:00+00:00,223.89,382.14,118.67,33.81
2025-04-03 04:00:00+00:00,203.19,373.11,112.43,31.34
2025-04-04 04:00:00+00:00,188.38,359.84,104.34,28.38
2025-04-07 04:00:00+00:00,181.46,357.86,102.94,27.17
2025-04-08 04:00:00+00:00,172.42,354.56,100.77,26.11
2025-04-09 04:00:00+00:00,198.85,390.49,105.8,27.9
2025-04-10 04:00:00+00:00,190.42,381.35,99.93,26.23
2025-04-11 04:00:00+00:00,198.15,388.45,103.14,26.59
2025-04-14 04:00:00+00:00,202.52,387.81,103.39,26.91
2025-04-15 04:00:00+00:00,202.14,385.73,103.1,27.21
2025-04-16 04:00:00+00:00,194.27,371.61,104.19,27.66
2025-04-17 04:00:00+00:00,196.98,367.78,106.92,28.32
2025-04-21 04:00:00+00:00,193.16,359.12,105.35,28.08
2025-04-22 04:00:00+00:00,199.74,366.82,108.3,28.87
2025-04-23 04:00:00+00:00,204.6,374.39,107.37,28.6
2025-04-24 04:00:00+00:00,208.37,387.3,108.63,29.0
2025-04-25 04:00:00+00:00,209.28,391.85,108.57,29.19
2025-04-28 04:00:00+00:00,210.14,391.16,108.63,29.13
2025-04-29 04:00:00+00:00,211.21,394.04,108.36,28.07
2025-04-30 04:00:00+00:00,212.5,395.26,105.63,27.46
2025-05-01 04:00:00+00:00,213.32,425.4,105.78,27.88
2025-05-02 04:00:00+00:00,205.35,435.28,106.21,28.12
2025-05-05 04:00:00+00:00,198.89,436.17,103.27,29.18
2025-05-06 04:00:00+00:00,198.51,433.31,104.71,28.4
2025-05-07 04:00:00+00:00,196.25,433.35,104.61,28.13
2025-05-08 04:00:00+00:00,197.49,438.17,106.07,28.59
2025-05-09 04:00:00+00:00,198.53,438.73,107.31,29.77
2025-05-12 04:00:00+00:00,210.79,449.26,109.16,30.19
2025-05-13 04:00:00+00:00,212.93,449.14,109.46,30.56
2025-05-14 04:00:00+00:00,212.33,452.94,108.48,30.36
2025-05-15 04:00:00+00:00,211.45,453.13,108.58,30.11
2025-05-16 04:00:00+00:00,211.26,454.27,108.19,29.76
2025-05-19 04:00:00+00:00,208.78,458.87,106.47,29.4
2025-05-20 04:00:00+00:00,206.86,458.17,104.95,29.2
2025-05-21 04:00:00+00:00,202.09,452.57,103.66,28.88
2025-05-22 04:00:00+00:00,201.36,454.86,102.97,28.94
2025-05-23 04:00:00+00:00,195.27,450.18,103.03,29.09
2025-05-27 04:00:00+00:00,200.21,460.69,103.52,29.15
2025-05-28 04:00:00+00:00,200.42,457.36,102.11,28.94
2025-05-29 04:00:00+00:00,199.95,458.68,102.69,29.17
2025-05-30 04:00:00+00:00,200.85,460.36,102.3,29.1
2025-06-02 04:00:00+00:00,201.7,461.97,103.05,29.58
2025-06-03 04:00:00+00:00,203.27,462.97,103.8,29.56
2025-06-04 04:00:00+00:00,202.82,463.87,102.3,28.92
2025-06-05 04:00:00+00:00,200.63,467.68,101.83,29.05
2025-06-06 04:00:00+00:00,203.92,470.38,104.27,29.29
2025-06-09 04:00:00+00:00,201.45,472.75,104.97,29.46
2025-06-10 04:00:00+00:00,202.67,470.92,107.22,30.23
2025-06-11 04:00:00+00:00,198.78,472.62,109.31,30.81
2025-06-12 04:00:00+00:00,199.2,478.87,109.73,30.92
2025-06-13 04:00:00+00:00,196.45,474.96,112.12,31.72
2025-06-16 04:00:00+00:00,198.42,479.14,112.48,31.16
2025-06-17 04:00:00+00:00,195.64,478.04,114.0,31.58
2025-06-18 04:00:00+00:00,196.58,480.24,113.19,31.14
2025-06-20 04:00:00+00:00,201.0,477.4,114.7,31.25
2025-06-23 04:00:00+00:00,201.5,486.0,111.74,30.32
2025-06-24 04:00:00+00:00,200.3,490.11,108.34,29.83
2025-06-25 04:00:00+00:00,201.56,492.27,108.37,30.32
2025-06-26 04:00:00+00:00,201.0,497.45,109.99,30.29
2025-06-27 04:00:00+00:00,201.08,495.94,109.38,30.34
2025-06-30 04:00:00+00:00,205.17,497.41,107.8,29.93
